Job Title,Company Name,Job Location,Job Description,Job Salary,Job Post,Job Link,Full Job Description
Brand Designer,Modern Health,Remote,"Experience working with web developer to develop website pages. Design and development of marketing materials, including: website pages, presentations, print…","$80,600 - $94,800 a year",14h,https://www.simplyhired.com/job/zQ6putR8ToNIq7MGPnO0Be4Z9GNt4cEn8wPC6x59L1UA_1T-Fn2omA,"Modern Health

Modern Health is a mental health benefits platform for employers. We are the first global mental health solution to offer employees access to one-on-one, group, and self-serve digital resources for their emotional, professional, social, financial, and physical well-being needs—all within a single platform. Whether someone wants to proactively manage stress or treat depression, Modern Health guides people to the right care at the right time. We empower companies to help all their employees be the best version of themselves, and believe in meeting people wherever they are in their mental health journey.

We are a female-founded company backed by investors like Kleiner Perkins, Founders Fund, John Doerr, Y Combinator, and Battery Ventures. We partner with 500+ global companies like Lyft, Electronic Arts, Pixar, Clif Bar, Okta, and Udemy that are taking a proactive approach to mental health care for their employees. Modern Health has raised more than $170 million in less than two years with a valuation of $1.17 billion, making Modern Health the fastest entirely female-founded company in the U.S. to reach unicorn status.

We tripled our headcount in 2021 and as a hyper-growth company with a fully remote workforce, we prioritize our people-first culture (winning awards including Fortune's Best Workplaces in the Bay Area 2021). To protect our culture and help our team stay connected, we require overlapping hours for everyone. While many roles may function from anywhere in the world—see individual job listing for more—team members who live outside the Pacific time zone must be comfortable working early in the morning or late at night; all full-time employees must work at least six hours between 8 am and 5 pm Pacific time each workday.

We are looking for driven, creative, and passionate individuals to join in our mission. An inclusive and diverse culture are key components of mental well-being in the workplace, and that starts with how we build our own team. If you're excited about a role, we'd love to hear from you!
The Role

Are you an ambitious creative professional? Does joining a rapidly-growing tech company in the health and mental well-being space sound exciting? The Marketing team at Modern Health is hiring a Brand Designer to help build our brand identity as we expand, executing a wide range of projects including web content, email newsletters, videos, advertising, conference materials, sales presentations, one-sheeters and much more. You will be a key member of the Marketing team, collaborating across product, customer success, clinical care, and recruiting to build a cohesive elevated brand for Modern Health, and to ensure specific messages are being visually conveyed through your designs.

This position is not eligible to be performed in Hawaii.

What You'll Do
Manage project request intake and scope clarification
Design and development of marketing materials, including: website pages, presentations, print and digital advertising, conference materials, research reports, social media campaigns, one-sheeters, postcards, promotions, videos, webinars, and other marketing collateral
Collaborate with other marketing and product team members to ensure quality and consistency in all aspects of our brand presence
Provide status updates and juggle multiple projects—we're an agile team with shifting priorities
Become an informed and vocal advocate of great design at Modern Health
Who You Are
3+ years of design experience in a fast-paced, high-growth environment
MUST have an online portfolio of relevant work examples
Hands-on experience with Figma, Adobe Creative Suite including Photoshop, and llustrator
Use of MS Office and Google Docs and how those are used cross-functionally with Adobe CS
Experience working with web developer to develop website pages
Knowledge of how to prepare files for optimal online use and print, bleed areas, CMYK, Pantone, RGB, etc.
Understand the different pixel resolutions required for print and online
Experience working within existing brand guidelines and/or designing new brand guidelines
Must be highly detail oriented and self-motivated and able to prioritize your workload to meet critical deadlines
Able to work well independently, as well as under the direction of others
Coachable and values constructive criticism from a variety of sources
Excellent written and verbal communication skills
Curious, creative, flexible, proactive, and ambitious
Benefits

Fundamentals:

Medical / Dental / Vision / Disability / Life Insurance
High Deductible Health Plan with Health Savings Account (HSA) option
Flexible Spending Account (FSA)
Access to coaches and therapists through Modern Health's platform
Generous Time Off
Company-wide Collective Pause Days

Family Support:

Parental Leave Policy
Family Forming Benefit through Carrot
Family Assistance Benefit through UrbanSitter

Professional Development:

Professional Development Stipend

Financial Wellness:

401k
Financial Planning Benefit through Origin

But wait there's more…!

Annual Wellness Stipend to use on items that promote your overall well being
New Hire Stipend to help cover work-from-home setup costs
ModSquad Community: Virtual events like active ERGs, holiday themed activities, team-building events and more
Monthly Cell Phone Reimbursement
Below, we are asking you to complete identity information for the Equal Employment Opportunity Commission (EEOC). While we are required by law to ask these questions in the format provided by the EEOC, at Modern Health we know that gender is not binary, and we recognize that these categories do not reflect our employees' full range of identities."
Handyman Advisor,Mended,Remote,"This is a fully remote position, expected to join a weekly call for 60 minutes. Must have 5+ years in residential handyman experience.",$30 - $50 an hour,22h,https://www.simplyhired.com/job/tbYViJsFsZW8DfVpvsHYY-My7olz0_IId7QcOeqOLdCBdcs6-s1oag,"Job Summary: We are seeking a handyman to join our advisory team for a maximum of one hour per week. This is a fully remote position, expected to join a weekly call for 60 minutes.Job Requirements:Must have 5+ years in residential handyman experienceMust have worked for yourself as a handyman (versus for a large company)If you only worked for hotels of commercial properties, unfortunately you don't quality at this timeMust speak English fluentlyMust have one hour per week available to join a callExpectations:We are looking for someone who can share their experiences and opinions about the handyman industry as we build out solutions to solve these problems. You will be expected to provide one hour of time per week.Job Type: TemporaryPay: $30.00 - $50.00 per hourExpected hours: 1 per weekBenefits:Flexible scheduleTravel requirement:No travelWork Location: Remote"
Remote Information Entry Clerk,Asap Systems,"Frisco, TX",Proficient in using data entry software and tools. Collaborate with team members to improve data entry processes. Resolve discrepancies and errors in data.,$25 an hour,1h,https://www.simplyhired.com/job/-uTTjV6cJRfGBhUJxX_mqNbIRR1Gt-yYkeczezMVHLPmF7sSUwVfgg,"We are seeking an organized and detail-oriented individual to join our team as an Information Entry Clerk. In this role, you will be responsible for accurately inputting and maintaining critical data for our company. As an Information Entry Clerk, you will play a crucial role in ensuring that our data is accurately recorded and readily accessible. You will be responsible for managing and organizing various types of information. Additionally, you will work closely with other team members to resolve any discrepancies or errors in the data


Responsibilities:

Input and update data accurately and efficiently
Maintain and organize various types of information
Resolve discrepancies and errors in data
Conduct regular data audits to ensure integrity and accuracy
Collaborate with team members to improve data entry processes
Follow up with stakeholders to clarify incomplete or unclear data
Protect sensitive information by adhering to company policies and procedures


Requirements:

High school diploma or equivalent

Excellent typing skills
Strong attention to detail
Proficient in using data entry software and tools
Ability to prioritize tasks and meet deadlines
Strong problem-solving skills
Ability to work effectively both independently and in a team environment"
Remote Online Chat Support Agent,Asap Systems,"Modesto, CA","In this role, you will have the opportunity to assist customers with various inquiries, troubleshoot technical issues, and ensure a positive customer experience…",$24 an hour,1h,https://www.simplyhired.com/job/bRhOeZAzQgXxsRDv2BB39A3rfTm4zR8dnZ-Uu5SC_x_nZA8O9tkP1A,"We are seeking a highly motivated and reliable individual to join our team as an Online Chat Support Agent. As an Online Chat Support Agent, you will be responsible for providing exceptional customer service and technical support to our clients through online chat. In this role, you will have the opportunity to assist customers with various inquiries, troubleshoot technical issues, and ensure a positive customer experience.


Responsibilities:

Respond to customer inquiries through online chat in a timely and professional manner.
Provide technical support to resolve customer issues effectively.
Identify and escalate priority issues to the appropriate team members.
Maintain accurate and detailed records of customer interactions and transactions.
Assist customers in navigating through our website and online platforms.
Stay up-to-date on product knowledge and industry trends to provide accurate information to customers.
Work collaboratively with team members to achieve department goals and objectives.


Requirements:

High school diploma or equivalent required;

Strong written and verbal communication skills.
Proficient in using online chat platforms and other relevant software.
Ability to multitask and prioritize tasks effectively.
Excellent problem-solving skills and ability to think analytically.
Strong attention to detail and ability to follow instructions accurately.
Ability to work independently and as part of a team."
Produce (Fruit and Vegetable) Broker,Planet Harvest,Remote,Develop and implement effective sales strategies that emphasize the value and benefits of our services focusing on the food bank system.,"$90,000 - $120,000 a year",2d,https://www.simplyhired.com/job/IjTtRwi0mfjckIneVfc6RY3WHZw4c4O9AVDuGcj4MoEZ7ibOts1CcQ,"Company Description:Planet Harvest is a pioneering force in the produce industry, committed to connecting the dots between growers and vital end-users, such as food banks, to ensure fresh, quality produce reaches those who need it most. We are a dynamic team of problem-solvers, innovators, and advocates driving access to healthy produce, striving to make a tangible difference in communities across the nation.Job Description:We are seeking a highly motivated and experienced Sales Manager with a strong background in the produce supply chain and a sharp focus on revenue generation. This critical role is centered around enhancing our sales strategy, expanding our network of growers and end-users, and ultimately driving our mission forward through strategic partnerships and sales excellence. The ideal candidate will have a robust understanding of the produce industry, exceptional sales skills, and a deep commitment to providing outstanding customer service. Your goal will be to forge strong relationships with growers connecting their products with end-users, ensuring efficiency and satisfaction at every step of the process.Responsibilities:- Aggressively grow our revenue by identifying and securing new business opportunities.- Develop and implement effective sales strategies that emphasize the value and benefits of our services focusing on the food bank system.- Forge and nurture strong relationships with key stakeholders in the produce industry.- Lead negotiations to secure favorable terms that maximize profit margins while maintaining strong partnerships.- Deliver unparalleled customer service.- Drive the achievement of sales targets and revenue goals, with a clear incentive structure tied to performance.- Represent Planet Harvest at industry events.Requirements:- 4+ years of experience in sales, specifically within the produce industry or related fields.- Demonstrated ability to drive sales and generate significant revenue.- Comprehensive understanding of the produce industry, including logistics, distribution, and the specific needs of growers and end-users.- Proven track record of building and maintaining relationships with growers, farmers, and other stakeholders in the produce industry.- Exceptional negotiation and communication skills.- Customer service mentality.- Ability to move quickly and make informed decisions in a fast-paced environment.What We Offer:- Competitive salary and benefits package with a bonus incentive structure designed to reward high achievers.- A meaningful role with a direct impact on food security and the produce industry.- Flexible working conditions to support a healthy work-life balance.- A dynamic and supportive team environment, committed to achieving our collective goals.If you're a sales powerhouse with a passion for produce and thrive in fast-paced, dynamic environments, we would love to hear from you. Let's work together to expand our reach, enhance food security, and drive Planet Harvest to new heights.Job Type: Full-timePay: $90,000.00 - $120,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceEmployee discountFlexible scheduleHealth insurancePaid time offParental leaveVision insuranceWeekly day range:Monday to FridayWork Location: Remote"
Remote Records Processor,Asap Systems,"Newport News, VA",Maintaining physical and electronic filing systems. Assisting with the implementation of new record management systems and processes.,$25 an hour,1h,https://www.simplyhired.com/job/O8NqWLBpe1yfpugE8K8oZupFXQGEnFRnxsZ3g6wq47Ah5ZXA1EE0CA,"We are seeking a detail-oriented and organized individual to join our team as a Records Processor. In this role, you will be responsible for managing and processing records in an accurate and timely manner. This position requires strong attention to detail, excellent organizational skills, and the ability to work with confidential information.


Responsibilities:

Reviewing and verifying the accuracy and completeness of records
Organizing and classifying records according to established guidelines
Entering and updating data in the system
Maintaining physical and electronic filing systems
Retrieving records upon request and ensuring their safe return
Conducting regular audits to ensure compliance with record management policies and procedures
Assisting with the implementation of new record management systems and processes

Requirements:

High school diploma or equivalent
Strong attention to detail and accuracy
Excellent organizational skills

Knowledge of record management principles and best practices
Ability to handle confidential information with discretion
Strong time management skills and ability to prioritize tasks effectively"
Remote Customer Support Specialist,Asap Systems,"Germantown, MD","Respond to incoming customer inquiries via phone, email, and chat in a professional and timely manner. Diagnose and troubleshoot technical issues reported by…",$25 an hour,1h,https://www.simplyhired.com/job/To0kJwjtHEVrxRLEKBNKXVsL-U3IvVhiCLgwQ01ICCfvTRELQnl2Sg,"We are seeking a highly motivated and customer-focused individual to join our team as a Customer Support Specialist. In this role, you will be responsible for providing exceptional customer service and technical support to our clients. You will serve as the first point of contact for inquiries and issues, ensuring that all customer needs are addressed in a timely and professional manner.


Responsibilities:

Respond to incoming customer inquiries via phone, email, and chat in a professional and timely manner
Diagnose and troubleshoot technical issues reported by customers
Provide step-by-step instructions to customers in a clear and concise manner
Escalate complex issues to the appropriate team or supervisor for resolution
Document all customer interactions and maintain accurate records in the CRM system
Follow up with customers to ensure their issues are fully resolved and they are satisfied with the service provided
Continuously update knowledge of company products and services to effectively assist customers


Requirements:

High school diploma or equivalent

Excellent verbal and written communication skills
Strong problem-solving abilities and attention to detail
Ability to multitask and prioritize tasks effectively
Proficient in using CRM systems and other relevant software
Ability to work independently and collaborate effectively with cross-functional teams"
Remote Data Processor,Asap Systems,"Glendale, CA",Strong attention to detail and accuracy in data entry. Generate reports and provide data analysis to support decision-making.,$25 an hour,1h,https://www.simplyhired.com/job/wlJcB_l6QBuzLcoGozOOyYimP_U9smyC6ywr48LWPt4_WrV9-7oODw,"We are seeking a detail-oriented and highly organized individual to join our team as a Data Processor. As a Data Processor, you will be responsible for collecting, organizing, and entering data into our system. This position requires excellent attention to detail, strong analytical skills, and the ability to work with large volumes of data.


Responsibilities:

Collect and verify data from various sources
Organize and clean data before entering into the system
Enter data accurately and efficiently into our database
Conduct quality assurance checks to ensure data integrity
Update and maintain databases with new information
Generate reports and provide data analysis to support decision-making
Communicate any data discrepancies or issues to the appropriate team members


Requirements:

Proficient in using database management systems and Microsoft Excel
Strong attention to detail and accuracy in data entry
Excellent analytical and problem-solving skills
Ability to work efficiently under tight deadlines
Excellent verbal and written communication skills."
Data Processing Specialist - Remote/Office,Asap Systems,"Gresham, OR",Proficient in Microsoft Excel and other data analysis tools. Perform data entry tasks with a high level of accuracy and attention to detail.,$25 an hour,1h,https://www.simplyhired.com/job/z-7eV8VQi2cVr8LOm-e8m7cze8LSccV77M0_irjsVqAkyzTkbCjv2Q,"We are looking for a detail-oriented Data Processing Specialist to join our team. As a Data Processing Specialist, you will play a crucial role in ensuring the accuracy and integrity of our company's data. You will be responsible for managing, organizing, and processing large amounts of data in a timely and efficient manner. The ideal candidate for this position is someone who has a strong attention to detail, excellent organizational skills, and the ability to work independently.


Responsibilities:

Perform data entry tasks with a high level of accuracy and attention to detail
Sort, organize, and file paper and electronic documents
Update and maintain databases with new information
Perform regular data audits to ensure data integrity
Generate reports and provide data analysis as needed
Collaborate with team members to identify and implement process improvements
Adhere to data privacy and security guidelines to ensure confidentiality


Requirements:

Proficient in Microsoft Excel and other data analysis tools
Highly analytical with strong problem-solving skills
Excellent attention to detail and accuracy
Strong organizational and time management skills
Ability to work independently and meet tight deadlines"
Remote/ Office - Information Entry Analyst,HPA Strategies,"Miramar, FL","Proven experience in data entry or related field. Proficient in data entry software and tools. As an Information Entry Analyst, you will play a crucial role in…",$26 an hour,1h,https://www.simplyhired.com/job/_IO5M5qqRmgsRklVOcfqsYepJaVYST5XAmQ7KLv2gG7qhiANzUrKbg,"As an Information Entry Analyst, you will play a crucial role in ensuring accurate and efficient data entry for our organization. You will be responsible for inputting, validating, and maintaining various types of data across different systems. Your attention to detail and ability to work efficiently will be essential in this role.

Responsibilities

Enter data accurately and efficiently into designated systems.
Verify data accuracy and completeness by comparing it to source documents.
Review and update data discrepancies or errors.
Conduct regular data audits to ensure data integrity.
Collaborate with team members to standardize data entry procedures.
Identify and suggest process improvements to enhance data entry efficiency.
Assist in generating reports and analysis based on the entered data.

Requirements

High school diploma or equivalent.
Proven experience in data entry or related field.
Proficient in data entry software and tools.
Excellent attention to detail.
Strong organizational skills and ability to prioritize tasks.
Ability to handle sensitive and confidential information with discretion.
Proficient in computer skills, including Microsoft Office Suite and Google Suite.
Effective communication skills, both written and verbal.

Benefits

Competitive salary package
Health and dental insurance
401(k) retirement savings plan
Flexible work hours
Opportunities for professional growth and development"
Remote Contact Center Agent,Asap Systems,"Orlando, FL","Answer incoming calls and respond to customer inquiries or concerns in a professional and courteous manner. As a Contact Center Agent, you will be responsible…",$24 an hour,1h,https://www.simplyhired.com/job/4PV-Z2UPGNOjDKRjFjytVu3ttOdlywQY0i1pW1UN11Hb2RETEzRDRw,"We are seeking a reliable and customer-service oriented Contact Center Agent to join our team. As a Contact Center Agent, you will be responsible for handling incoming calls, providing excellent customer service, and resolving customer inquiries or concerns. You will serve as the first point of contact for customers, ensuring a positive and professional experience.


Responsibilities:

Answer incoming calls and respond to customer inquiries or concerns in a professional and courteous manner
Provide accurate and timely information to customers, including product details, pricing, and availability
Resolve customer complaints or issues in a prompt and efficient manner, escalating to supervisors or managers when necessary
Maintain customer records by updating account information, documenting interactions, and following up on requests
Process customer orders, changes, and returns according to company policies and procedures
Collaborate with other team members to ensure a seamless customer experience
Meet or exceed performance targets, such as call handle time, customer satisfaction, and sales goals


Requirements:

High school diploma or equivalent

Excellent verbal and written communication skills
Strong problem-solving and decision-making abilities
Ability to multi-task and work under pressure
Proficiency in Microsoft Office Suite and customer service software

Ability to maintain a positive and professional attitude in a fast-paced environment"
Live Chat Support Representative,The Driscoll Group,"Huntsville, AL","1-2 years of experience in customer support, preferably in a live chat or technical support role. Strong typing skills and accuracy (30+ wpm).",$17 - $21 an hour,1h,https://www.simplyhired.com/job/FaRm3WFAsO3DyMD9Wh8mY0KYo9J8pvOV6AugtuWIHlrxP0bWdj0xig,"Job Summary:

We are seeking a customer-focused and tech-savvy Live Chat Support representative to join our team at Driscoll Group. As a Live Chat Support representative, you will be the first point of contact for our customers, providing exceptional support and resolving issues through live chat, email, and phone. Your goal will be to deliver top-notch customer service, ensuring our customers have an outstanding experience with our brand.

Key Responsibilities:

Respond to customer inquiries through live chat, email, and phone in a timely and professional mannerResolve customer issues and concerns with empathy and effective solutionsProvide accurate and helpful information about our products and servicesTroubleshoot and resolve technical issues with our products or servicesEscalate complex issues to senior support teams or other departments as neededCollaborate with internal teams to resolve customer complaints and improve overall customer experienceMeet and exceed customer satisfaction and quality metricsStay up-to-date with product knowledge, industry trends, and company information
Requirements:

High school diploma or equivalent required1-2 years of experience in customer support, preferably in a live chat or technical support roleExcellent communication, problem-solving, and conflict resolution skillsAbility to work in a fast-paced environment and adapt to changing prioritiesStrong typing skills and accuracy (30+ wpm)Familiarity with customer relationship management (CRM) software and technologyAbility to work varying shifts, including evenings and weekends
Working Conditions:

Work is performed remotelyMust be able to work varying shifts, including evenings and weekendsMay require occasional overtime to meet customer demand
What We Offer:

Competitive salary and benefits packageOpportunities for professional growth and developmentCollaborative and dynamic work environmentThe chance to be part of a leading organization dedicated to delivering exceptional customer experiences
This is a remote position."
Remote Information Processing Clerk,Asap Systems,"Dayton, OH",Knowledge of data entry software and systems. Contribute to the development and implementation of data management policies and procedures.,$25 an hour,1h,https://www.simplyhired.com/job/vhFcU4SYlA5i8YbCU7x4kCrefR243WzYEQY6ceJEza03iJrZnTU3Gg,"We are seeking an organized and detail-oriented Information Processing Clerk to join our team. In this role, you will be responsible for ensuring accurate and timely processing of information and data. As an Information Processing Clerk, you will play a vital role in maintaining the integrity and security of our company's data. You will be responsible for entering, verifying, and updating information in our databases and systems. Additionally, you will assist in generating reports and analyzing data to support decision-making processes.


Responsibilities:

Accurately enter and update information in databases and systems.
Perform regular data quality checks and resolve any discrepancies or errors.
Monitor and maintain data integrity and security.
Assist in generating reports based on specified criteria.
Analyze data and provide insights and recommendations.
Collaborate with team members to ensure efficient and effective data processing.
Contribute to the development and implementation of data management policies and procedures.


Requirements:

High school diploma or equivalent.
Strong attention to detail and high level of accuracy.
Knowledge of data entry software and systems.
Excellent organizational, time management, and multitasking abilities.
Strong analytical and problem-solving skills.
Effective written and verbal communication skills."
Data Administration Clerk - In Office or Home,HPA Strategies,"Columbia, MO",High school diploma or equivalent; additional certification in data administration is a plus. Proven experience in data entry or administrative role.,$26 an hour,1h,https://www.simplyhired.com/job/N4FqCwKxOyENnb1t5uzXR3dXO90cY12tPBoUgBa3fQvPhuoxzo5wfA,"We are seeking a detail-oriented and highly organized individual to join our team as a Data Administration Clerk. In this role, you will play a crucial part in managing and maintaining accurate data records within our organization. The ideal candidate will have excellent attention to detail, strong organizational skills, and the ability to work efficiently in a fast-paced environment.
Responsibilities

Collecting and entering data into various databases and systems accurately and efficiently.
Verifying the accuracy and completeness of data entries on a regular basis.
Generating reports and preparing data analysis presentations for management.
Collaborating with team members to ensure the integrity and security of data.
Conducting regular audits to identify and resolve data discrepancies.
Organizing and maintaining physical and digital records in a systematic manner.
Assisting in data cleaning activities to improve data quality.
Assisting with data migration and system upgrades.
Keeping up-to-date with data protection regulations and best practices.

Requirements

High school diploma or equivalent; additional certification in data administration is a plus.
Proven experience in data entry or administrative role.
Proficient in using Microsoft Office Suite and data management software.
Strong attention to detail with excellent organizational skills.
Ability to work independently and meet deadlines.
Strong problem-solving and analytical skills.
Excellent verbal and written communication skills.
Ability to handle sensitive and confidential information with integrity.
Familiarity with data protection regulations such as GDPR is a plus.
Knowledge of data cleaning and quality improvement techniques.

Benefits

Competitive salary
Health insurance coverage
Retirement savings plan
Paid vacation and sick leave
Professional development opportunities"
Remote Market Development Representative (Entry Level),Pierre Strand,Remote,\*\*Duties:\*\* - Engage in sales activities to drive company revenue and growth - Research and analyze market trends to identify new business opportunities -…,"$6,000 - $7,000 a month",1h,https://www.simplyhired.com/job/it_oVN8qOIWt3SYT8QwQNpGeasvXHcSyxpBHmHmCXZXvzuJFMORxrg,"**Overview:** We are seeking a motivated Sales Representative to join our team. This entry-level position offers an exciting opportunity for individuals looking to kick-start their career in sales. **Duties:** - Engage in sales activities to drive company revenue and growth - Research and analyze market trends to identify new business opportunities - Develop and implement strategic sales plans to achieve targets - Negotiate contracts and close deals with clients - Build and maintain strong customer relationships - Utilize Customer Relationship Management (CRM) software, such as Salesforce, to track sales activities - Collaborate with the marketing team to support business development efforts - Manage projects related to sales initiatives **Requirements:** - Strong interest in sales and willingness to learn - Proficiency in sales techniques and strategies - Ability to conduct market research and analyze data effectively - Excellent communication and interpersonal skills - Basic understanding of strategic planning concepts - Familiarity with CRM software like Salesforce is a plus - Knowledge of project management principles is advantageous This position offers an excellent opportunity for individuals looking to gain valuable experience in the field of sales. If you are enthusiastic about starting a career in sales and possess the required skills, we encourage you to apply.Job Type: Full-timePay: $6,000.00 - $7,000.00 per monthBenefits:401(k)Dental insuranceHealth insurancePaid time offVision insuranceSchedule:8 hour shiftSupplemental pay types:Bonus opportunitiesCommission payYearly bonusTravel requirement:No travelWork Location: Remote"
Clinical Document Specialist,Talent Groups,Remote,"Collaborate closely with TMF specialists to guarantee the precision and timeliness of TMF filings for all GCS studies, especially in preparation for audits and…",Up to $60 an hour,22h,https://www.simplyhired.com/job/jz4Rh-0sY8z3TdkR_llmaAUAs-buZ7Y5472MmAwfblTcnYDqFhlNxA,"Ensure the accuracy and integrity of GCS study documents stored in both BOX and Sharepoint platforms through regular reviews and organization.Collaborate closely with CSMs to maintain operational documents for both ongoing and upcoming studies within GCS.Support CSMs in overseeing the review and approval processes for documents using DocuSign/Adobe e-Sign.Establish effective communication channels with internal Client departments and external vendors to secure and manage GCS study documents.Collaborate closely with TMF specialists to guarantee the precision and timeliness of TMF filings for all GCS studies, especially in preparation for audits and inspections.Aid CSMs in crafting and maintaining Storyboards by liaising with relevant departments and reviewing pertinent study documents and TrackWise reports.Serve as the primary contact for the transition of document storage from Client BOX to Client Partner BOX and OneDrive within GCS.Take charge of creating and managing GCS documents in Vault, the GMP environment, and offer support with purchase order requests via Smartsheet submissions and quote approvals in Coupa.Job Type: ContractPay: Up to $60.00 per hourExpected hours: 40 per weekSchedule:8 hour shiftWork Location: Remote"
Content Creator,Simply Earth,Remote,"In person or remote working options. You make a creative to sell one of your core products, see how it goes, and then make another one based on that data.",$17 - $35 an hour,21h,https://www.simplyhired.com/job/zzKusaF5LDWMCTQ5MRGhNQ1wiImBa6XEE9bEOJeF3ADWF122QgK31A,"Content CreatorHello and welcome, my name is Lee, co-founder of Simply Earth, where we are teaching people how to do use natural ingredients to make their own productsWe are seeking a content creator who is a clear communicator, loves to create content, and looks forward to small business values and culture.About Simply Earth exists to teach complete beginners how to make their own DIY products from natural ingredients.We are on a mission to help 1,000,000 people in the next 5 years unlock their talents and make their homes natural.About youYou love to teach. You can distill thoughts into ideas you can teach others those.You love creating content. You like to make that video funny or show things beautfifully, or you can image being trained and becoming good at it and love the idea of being good at something.You're dedicated to excellent work and go the extra mile to achieve it. Constantly striving to surpass your achievements, you're reliable for your team, just as they are for you.The roleCreating and refining the UGC creatives for our ads: Becoming the “internal influencer” for a certain product line. You make a creative to sell one of your core products, see how it goes, and then make another one based on that dataCreating and refining the content that goes out across marketing channels: As you teach people in a monthly content plan, you help refine what that creative would look likeInspire other team members to go a great job in their roles: Encourage and get the most out of the page builder, customer service rep, and more to really sell the products you create content for well⌚ WORKING NOTES & REQUIREMENTSIn person or remote working options20-30 hours per week.Preferred: Education degreePreferred: Has experience creating natural products using essential oilsSALARY AND BENEFITS:Experience dependent: $17/hr to $35/hrGrowth opportunitiesFlexible schedulingHow To ApplyFill out the form https://simplyearth.typeform.com/to/bjpQb3GpJob Types: Full-time, Part-timePay: $17.00 - $35.00 per hourExpected hours: 15 – 40 per weekBenefits:401(k) matchingEmployee discountFlexible schedulePaid time offParental leaveSchedule:Choose your own hoursMonday to FridayNo weekendsWork Location: Remote"
Hospitality & Maintenance Opportunity for a couple,Alaska Remote Lodge,Remote,- Solid mechanical aptitude; boat operation skills a plus*. An Alaska remote lodge is seeking an adventurous couple with a passion for the great outdoors and a…,"From $6,000 a month",3d,https://www.simplyhired.com/job/YCXwnR4S_Qel-BTwTLpKPoS7kkRkjeQKuI-YF-dt5fWV4tVM1rwGQg,"**Adventure Awaits: Hospitality & Maintenance Opportunity for Couples****Location:** Remote lodge, where the wilderness beckons and adventure begins, nestled between the Yentna and Skwentna rivers, just 60 miles west of Anchorage, Alaska.**Compensation:**- **$6000.00 per month per couple** - **Plus 80% of tips**- **Includes housing, food, and travel**- **Limited internet access**- **On-site employment**- **10-month contract****Start Date:** Open until filledAn Alaska remote lodge is seeking an adventurous couple with a passion for the great outdoors and a knack for hospitality and maintenance. As one of the few roadhouses in the area, we offer a unique opportunity to live and work in a remote wilderness setting.**Qualifications:**- This position is for a couple, so please submit both resumes when you apply- Positive, cheery attitude- Experience in hospitality and general maintenance preferred- Ability to thrive in remote living conditions- Solid mechanical aptitude; boat operation skills a plus- Team player with excellent communication skills- Flexibility to work extended hours on some days (while other days may be quieter depending on the season)- Self-starters who can work independently with minimal supervision- Physically fit to handle various tasks, including lifting up to 50lbs**Responsibilities:**- Housekeeping- Dishwashing- Fuel pumping- Laundry- Wood cutting and hauling- Additional duties as assigned**Perks:**- Lodge housing (cabin/room) and all meals provided- Free transportation and laundry services while at the Roadhouse- Once-in-a-lifetime adventure in the Alaskan wilderness- Part-time/full-time opportunities with potential for full-time employmentOur remote lodge is only accessible by small plane, river boat, or snow machines in the winter, offering a truly unique living experience. Positions are available starting May 1st for the right individuals.**To Apply:**Please submit a current resume, job-related references, and a cover letter outlining your interest in joining our team. Do not call; applications will only be accepted through this ad.*Join us and embark on the adventure of a lifetime.**The Management*--- This version aims to highlight the unique adventure and opportunities offered by the position while providing clear information about the requirements and benefits.Job Types: Full-time, Part-time, TemporaryPay: From $6,000.00 per monthExperience:Facilities Maintenance Occupations: 1 year (Required)Hospitality: 1 year (Required)License/Certification:Driver's License (Preferred)Work Location: Remote"
